sentence_id,company,year,report_type,sentence_text,source,label,confidence,llm_label,llm_gw_risk,llm_top_features,kee_label,kee_confidence,kee_notes,flagged_for_qa
S0021,jsw,2020,BRR,"- I n Vijayanagar, Online Continuous Emission Monitoring Systems (OCEMS) were installed in 71 stacks for measuring 95 parameters that provide accurate and continuous information on particulate matter or gaseous emission.",model,V,0.6162,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0022,jsw,2020,BRR,"- U pgradation of SMS-1 primary and secondary fume extraction systems and SMS-2 primary fume extraction systems to reduce roof top emission at - I nstallation of Maximised Emission Reduction of Sintering (MEROS) to treat process gases of Sinter Plant 4 at Vijayanagar, which help reduce emissions.",model,V,0.5541,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0023,jsw,2020,BRR,"- I n Dolvi, 12 dust extraction systems were installed at RMHS to reduce fugitive emission during transfer of raw material from belt conveyor and transfer points.",model,V,0.6162,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0024,jsw,2020,BRR,- R MHS open yards in Dolvi were fully covered with conventional/space frame covered shed to prevent dust emission during operation of the yard.,manual,V,1.00,V,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],V,1,,N
S0025,jsw,2020,BRR,This increases efficiency of ESPs and reduces emissions.,manual,V,1.00,V,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],V,1,,N
S0026,jsw,2020,BRR,A) Water conservation and waste water treatment Water is a crucial input in steel manufacturing operations.,model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0027,jsw,2020,BRR,"Hence the Company has undertaken focused water management initiatives to promote responsible water use for better conservation and T he following initiatives were carried out during the - I n Vijayanagar, 18 effluent monitoring devices were installed at six locations.",model,V,0.6209,S,0.7,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; specific_tech=1.00[esp|vijayanagar],,,,N
S0028,jsw,2020,BRR,"It also reduces the total dissolved solids (TDS) in outlet effluent, resulting in lower water consumption.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0029,jsw,2020,BRR,"- V ijayanagar uses six RO plants for recovery of makeup water and reuses treated blowdown water for secondary applications, thereby ensuring zero liquid discharge.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0030,jsw,2020,BRR,"- I n Salem, wastewater from Ultrafiltration RO Plant and Multigrade Filter is diverted to recycled water treatment plants.",manual,V,1.00,?,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],V,2,,N
S0031,jsw,2020,BRR,The recycled water is reused for plant makeup water.,manual,V,1.00,?,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],V,1,,N
S0032,jsw,2020,BRR,- E ffluent Treatment Plant installed at the Salem facility with a capacity of 125 KLD and a Zero Liquid Discharge system in Acid pickling plant to treat the effluent.,manual,S,1.00,S,0.133,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],S,1,,N
S0033,jsw,2020,BRR,This will help reduce fresh water consumption by approximately Liquid Discharge Effluent Treatment Plant with a capacity 30 KLD to treat the effluent from Air Cooled Condenser cooling tower.,model,V,0.5475,S,0.267,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],,,,Y
S0034,jsw,2020,BRR,C) Recycling of solid waste T he steel industry is the best place to implement circular economy principles and the Company’s primary focus has been to maximise the consumption of waste.,model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0035,jsw,2020,BRR,"T he Company’s integrated steel plants generate various types of solid waste as byproduct, such as fine dust from the pollution control systems, coke fines, slags, mill scales from other processes of steel manufacturing.",manual,V,1.00,V,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],V,1,,N
S0036,jsw,2020,BRR,The Company has built-in processes and capabilities to help the plants recycle and reuse the waste generated across F ollowing are the key waste management measures undertaken during the year: - V ijayanagar expanded its slag sand plant with an additional capacity of 125 tonnes per hour.,model,V,0.5475,S,0.267,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],,,,Y
S0037,jsw,2020,BRR,These include: • Global Reporting Initiative (GRI) Standards • United Nations Sustainable Development Goals (UN • Carbon Disclosure Project (CDP) • P rinciples under United Nations Global Compact • National Guidelines on Responsible Business Conduct (NGRBC),model,V,0.5721,S,0.585,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; specific_tech=1.00[esp|gri|carbon disclosure project],,,,N
S0038,jsw,2020,BRR,"The Company was among the pioneers to sign up and commit to the Indian Business and Biodiversity Initiative (IBBI), an initiative by the Confederation of Indian Industry (CII) in partnership with India’s Ministry of Environment, Forest & Climate Change.",model,V,0.5924,S,0.509,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],,,,N
S0039,jsw,2021,BRR,"N ational and International codes and The policies are based standards adopted mapped to various standards like ISO 900 Principles Performance Standard on Human Rights, Rep National Environmenta Carbon Disclosure Pro Climate-related Financ Governance, leadership and oversight 6.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0040,jsw,2021,BRR,"JSW through a meaningful a that enables improved years, JSW Steel’s cont employment, better inf Company has aligned and learning, agri- initi biodiversity promotion d on NGRBC, in addition to conformance to the spirit of international ds, OECD Guidelines, UNGC guidelines and ILO Principles, ILO Convention port on Affirmative Action by CII, National Action Plan on Climate Change, al Policy, UN Sustainable Development Goals, Global Reporting Initiative, oject (CDP),Dow Jones Sustainability Index (DJSI) and Task Force on cial Disclosures (TCFD).",model,V,0.5715,S,0.581,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; specific_tech=1.00[jsw steel|gri|tcfd],,,,N
S0041,jsw,2021,BRR,"United Nations Sus Was report on responsible • United Nations Glo business conduct made, in the • Carbon Disclosure • Companies Act, 20 a. A s per mandatory/global • Indian Accounting reporting frameworks.",model,V,0.5778,S,0.533,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.10[NONE],,,,N
S0042,jsw,2021,BRR,"Essential/Leadership indicators Information Principle 2: Businesses should provide goods and services in a manne Leadership L1 L1, L2 indicators For goods and services that LCAs (Life Cycle Assess incorporated environmental and products from 3 manuf social concerns, give details of: Salem-Bloom & Bar rod a. R esource use (energy, Environment Product D water, raw material) per unit has been obtained for produced in the year.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0043,jsw,2021,BRR,"3. enable sustainable Pursuant to the require Good practices (up to three) in (Listing Obligations and reduction, recycling, and reuse the company has Risk m initiatives that contributed Directors to oversee En to lowering the adverse environmental footprint of your The key risks identified business activities.",model,V,0.5841,S,0.486,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],,,,N
S0044,jsw,2021,BRR,"The docu the website of MOEF&C Statutory Authorities a The Company’s Resear development, process waste utilisation & con The Key focus areas inc • Optimisation of res • Quality, Productivit • Product developme • Recycling & reuse • New application de • New process techn Examples of any collective action The Company’s R&D is by your business with other five collaborative proje businesses / NGOs / government in India.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0045,jsw,2021,BRR,As per the Ministry of S L2 emission in Iron & stee Risk management strategies and tCS) in BF- BOF route & measures for each material DRI-EAF route.,model,V,0.5541,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0046,jsw,2021,BRR,"ons taken for social impacts are available on https://www.jsw.in/ n-program-overview E1 of Principle-6 Steel, Government of India, in its 2017 policy has included GHG el sector to a level 2.2 – 2.4tCO2 per ton of crude steel produced (tCO2/ & 2.6 – 2.7tCO2 per ton of crude steel produced (tCO2/tCS) by 2030 in ry agreed by all major steel producers as integrated in the National JSW Steel will abide by this target of Government of India The company or to create better products to address various factors including ils are provided in the Integrated Report .",model,S,0.5301,S,0.187,specific_tech=1.00[jsw steel|tco2]; vague_adj_ratio=0.09[better]; verb_strength=0.10[NONE],,,,Y
S0047,jsw,2021,BRR,High strength low material environmental risks identified: 2. Ultra low carbon g a. I nformation on businesses 3.,manual,V,1.00,V,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],V,2,,N
S0048,jsw,2021,BRR,"Tin plate grade Details of good practices cited in Recycling plastic in Co reduction, recycling, and reuse A suitable feeding sys initiatives benchmarked against shredded waste plast industry best practice (100 recycled in coke oven Development of steel EAF slag is processed brick manufacturing a cast for usage at the r component in manufa Essential/Leadership indicators Information Principle 7: Businesses, when engaging in influencing public and reg Essential E1 E1 indicators Review public policy advocacy JSW, as a part of the W positions by the governance formulate policies/gui structure for consistency with Harmonising GHG data Principles of these Guidelines: IPCC requirements and a. Frequency JSW participates for p b. Month/year of last review.",model,V,0.6162,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0049,jsw,2021,BRR,"About 35 tonnes of waste plastic has been n, with subsequent reduction in electrical energy consumption.",model,V,0.5475,S,0.267,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],,,,Y
S0050,jsw,2021,BRR,JSW is a part of the Working Group 3 of CII - a collection by Industrial Process and Product Use (IPPU) sector with d contribution to national GHG inventory policy advocacy with the Government.,model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0051,jsw,2021,BRR,The vulnerable and marginalised the communities done sections of society CSR Projects or Activ ecosystems & inn reduced emission With respect to projects during There were no R&R in a the year for which R&R is a. N umber of persons that were affected displaced by these b. G ross amount paid out to project- affected and displaced persons?,model,V,0.6162,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0052,jsw,2021,BRR,This would also strengthen the Company’s position as India’s leading manufacturer of advance steel products that lead to reduced CO2 emissions and producing sustainable steel products.,model,V,0.6504,S,0.52,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],,,,N
S0053,jsw,2021,BRR,The process of steelmaking involves complex activities that require heavy energy utilisation and effective waste and emissions management.,model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0054,jsw,2021,BRR,The Company has also created committees/working- groups to address specific issues like the Climate Action Group (CAG) or the Working Group on Waste Management and Circular Economy.,model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0055,jsw,2021,BRR,"Tackling Climate Change With a looming climate crisis in the background, the Company has devised a climate action plan to improve its net carbon emission intensity beyond India’s Nationally Determined Contributions (NDC) and achieve more than 41% reduction by 2030 from the base year of 2005.",model,S,0.5096,S,0.133,vague_adj_ratio=0.00[NONE]; specific_tech=0.00[NONE]; verb_strength=0.10[NONE],,,,Y
S0056,jsw,2021,BRR,This would be achieved through • Improvement of input raw material quality through • Increased use of renewable energy • Increased use of scrap •,model,V,0.6304,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0057,jsw,2021,BRR,"Reducing coke in Blast Furnaces (BFs), increased Pulverised Coal Injection (PCI) and Natural Gas (NG) use in BFs • Energy efficiency and process efficiency improvements through best available • Continue efforts and collaborations towards development of deep decarbonisation technologies such as Carbon Capture Utilisation/Storage (CCUS), use of hydrogen in iron reduction etc.",model,V,0.5391,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,Y
S0058,jsw,2021,BRR,"The Company has an operating Carbon Capture Utilisation (CCU) plant at Salav facility, which is capturing carbon from the exhaust gases generated by sponge iron operations, treating and converting it to approximately 100 TPD CO (99.5% purity) and selling it to the food and beverage industry for use.",model,V,0.5325,S,0.267,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.10[NONE],,,,Y
S0059,jsw,2021,BRR,The Company also plans to use renewable energy across steel operations at Vijayanagar by utilising around 800 MW RE (solar + wind) power.,model,V,0.5675,S,0.438,target_year=0.00[NONE]; verb_strength=0.15[plans to]; vague_adj_ratio=0.29[plans to],,,,N
S0060,jsw,2021,BRR,"Multiple operational interventions were implemented during the year to further improve on the sustainability performance and aid the achievement of our targets like installation of Waste Gas Recovery at Sinter Plant 4 resulting in fuel saving, increasing TRT power generation by 22.5% from 8.03 MW in FY 2019-20 to 9.84 MW in FY 2020-21 resulting in reduction in purchased power requirement.",model,V,0.5042,S,0.0,vague_adj_ratio=0.00[NONE]; quantifier_count=1.00[22.5%|mw|fy 2019|fy 2020]; target_year=0.00[NONE],,,,Y
S0061,jsw,2021,BRR,"One crucial intervention to inculcate sustainability in the steelmaking process is decreasing its energy intensity, which also has a direct bearing on the reduction of CO2 emission.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0062,jsw,2021,BRR,Increasing usage of non-conventional sources for energy such as waste-gas heat recover technologies is reducing the Company’s energy intensity.,model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0063,jsw,2021,BRR,"Circular Economy and Resource Conservation The Company has adopted an integrated strategy towards efficient waste and wastewater management focusing on ‘Zero waste to Landfill’ and ‘Zero Liquid Discharge’, with technological innovations like using plastic waste in steel melting process, use of steel by-products in making of paver blocks, replacement of river sand, and so on.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0064,jsw,2021,BRR,"The Company has developed critical infrastructure necessary for water conservation both inside and outside plant boundaries together with environmental infrastructure in the community and mines such as check dams, gabions, coir matting.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0065,jsw,2021,BRR,"From introducing mobile de-dusting systems to installation of yard sprinklers to large scale interventions like installation of MEROS, de-dusting systems, the Company has been able to consistently manage its air emissions efficiently.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0066,jsw,2021,BRR,It covers around 50-60 dust sources effectively and attains work zone emissions at less than 2mg/m3.,model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0067,jsw,2021,BRR,Covered storage shed will prevent dust emission in the environment during operation of the yard.,model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0068,jsw,2021,BRR,"In Salem, installation of mobile de-dusting system in the Blast Furnace resulted in reduction of fugitive emission from 12,500 ug/m3 to 3,200 ug/m3.",model,V,0.5108,S,0.133,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.10[NONE],,,,Y
S0069,jsw,2021,BRR,"With a target for 2030 of achieving no net loss to biodiversity, the Company continuously looks for opportunities to enhance the biodiversity by deploying techniques of Miyawaki plantations, mangrove plantations and other plantations of high carbon sequestration species.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0070,jsw,2021,BRR,The Company plans to incubate a biodiversity park at Vijayanagar to provide a safe compound for native species and accelerate the process of carbon Capacity Building The Company is focused on strengthening its internal capacity as well as that of its business partners relating to sustainability issues.,model,V,0.5887,S,0.572,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.15[focused on|plans to],,,,N
S0071,jsw,2021,BRR,"Together with the integrated reporting framework, its disclosures have been mapped with other leading frameworks and • Global Reporting Initiative (GRI) Standards • United Nations Sustainable Development Goals • Carbon Disclosure Project (CDP) •",model,V,0.5563,S,0.496,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; specific_tech=1.00[gri|carbon disclosure project|cdp],,,,N
S0072,jsw,2022,BRSR,"Governance, leadership and oversight responsibility report, highlighting ESG related industries but also challenges, targets and achievements (listed is used necessitat entity has flexibility regarding the placement of a lesser carbon fo this disclosure)",model,V,0.5541,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0073,jsw,2022,BRSR,"we are investing h products and on t emissions, improv light and ensuring implementation and oversight of the Business Of Directors comp Responsibility policy (ies).",model,V,0.5541,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0074,jsw,2022,BRSR,"Review annua Composition of thi Directors like JMD ased on NGRBC, in addition to conformance to the spirit of international ndards, OECD Guidelines, UNGC guidelines and ILO Principles, ILO man Rights, Report on Affirmative Action by CII, National Action Plan on National Environmental Policy, UN Sustainable Development Goals, Global e, CDP, Dow Jones Sustainability Index (DJSI) and Task Force on Climate-",model,V,0.5653,S,0.463,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.10[NONE],,,,N
S0075,jsw,2022,BRSR,"Disclosures (TCFD) t targets for Sustainability KPIs related to climate change, energy, water, ons and biodiversity for 2030.",model,V,0.5541,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0076,jsw,2022,BRSR,"The committee oversee the f activities under the purview of polices of the 9 principles of NGRBCs nternational standards and frameworks such as UNGC, UN SDG, IFC, ef Sustainability Officer briefs the Committee which meets biannually to lity including Climate change, Water and Biodiversity related risks and chaired by an Independent Director and has Executive Directors and other ctors as members of the committee.",model,V,0.6304,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0077,jsw,2022,BRSR,Principle-Wise Policies Policy and Management process Policy on Business Policy on People Policy Policy on Huma conduct Business Business Policy conduct conduct Code of Conduct Climate change Health & Safety Grievance Indige for Board policy Policy redressal Peopl & Senior Mechanism Reset Management Policy Code of Practices Energy Policy Policy on Policy on Policy and Fair Labour Stakeholder Our w Disclosure of Practices & Engagement Bette Unpublished Employment Place Price Sensitive Rights Determination Raw Material Policy on Board Making Our of Materiality of Conservation Diversity World A Better Information or Policy Place Dividend Water ResourceRemuneration Distribution Policy Management Policy Policy for Wastewater Policy to Make Determination Management Our World A of Material Policy Better Place Policy for Waste Preservation of Management Documents Policy Policy on Dealing Air Emissions with Management Related Party Policy Remuneration Biodiversity Whistle-blower Local Policy and Considerations Vigil Mechanism Policy Terms and Policy to Make Conditions for the Our Appointment of World A Better Independent Place Policy to Make Our 10.,model,V,0.5576,S,0.42,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; vague_adj_ratio=0.03[better],,,,N
S0078,jsw,2022,BRSR,"Operational requirements of relevance addressed on an ‘ongoing basis’ as and to the principles, and, rectification of any non- an Rights Climate change Policy on Policy to Make Policy on y policy Business Our world a Business conduct Better Place Conduct enous Energy Policy Policy on Policy on SocialQuality Policy les and Influencing Development ttlement Public & and community y Regulatory involvement y to make Raw Material Policy to Make Indigenous Research & world a Conservation",model,V,0.5784,S,0.453,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],,,,N
S0079,jsw,2022,BRSR,"While the y entity that is mandated to file this report, the leadership spire to progress to a higher level in their quest to be socially, elves with integrity, and in a manner that is Ethical, mmes on any of the Principles during the financial year: %age of persons d under the training and its impact category covered by the awareness ude the Committee Meetings which have discussions 100 of BRSR including climate change, biodiversity, water, rmance Indicators, Global trends on sustainability ndustry, external ratings and disclosures, Stakeholder iality, climate change Risks and Opportunities etc. egrity and ethics, core values, code of conduct, and 100 enabling KMPs to drive company’s values, purpose f conduct, adaptive leadership programmes, and ≈40% areness by way of periodical internal communication ESG, Sustainability Initiatives at locations, Actions ndation, Environment Initiatives at locations, Life oduct Sustainability, Biodiversity & its importance for entions for Sustainable World & Safety Management.",model,V,0.5369,S,0.291,target_year=0.00[NONE]; vague_adj_ratio=0.04[sustainable]; verb_strength=0.10[NONE],,,,Y
S0080,jsw,2022,BRSR,"been formulated and practic safely reclaim your products for reusing, (b) E-waste recycling and disposing at the end of (c) Hazardous waste (d) other waste.",model,V,0.5732,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0081,jsw,2022,BRSR,"If yes, whether the waste collection plan is in line with the Extended Producer Responsibility (EPR) plan submitted to Pollution Control Boards?",model,V,0.5541,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0082,jsw,2022,BRSR,"Product development, customisation and new • Recycling and reuse of process waste and conservation of natural resources.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0083,jsw,2022,BRSR,"Overall, the Company has aligned its CSR programmes to the key areas of health and nutrition, education and learning, agri- initiatives, livelihood, sanitation, water conservation and augmentation, biodiversity promotion, skill enhancement, and art, culture PRINCIPLE 5: Businesses should respect and promote essential indicators 1.",model,V,0.5587,S,0.486,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; specific_tech=1.00[esp|gri],,,,N
